formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
AlMoTaTiV,25.0,$^\circ$C,C,,,CAST
AlCoCrFeNi,25.0,$^\circ$C,T,900.0,MPa,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,C,,,POWDER
CoCr$_{0.25}$Ni,25.0,$^\circ$C,T,745.0,MPa,WROUGHT
Al$_{0.15}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,25.0,$^\circ$C,C,550.0,MPa,CAST
AlCrCuFeNi,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,23.0,$^\circ$C,C,929.0,MPa,OTHER
CoCrCu$_{0.5}$FeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.774}$FeMn$_{0.903}$Ni$_{0.484}$,,,,,,ANNEAL
AlCoCrFeNb$_{0.25}$Ni,25.0,$^\circ$C,C,1959.0,MPa,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,,,POWDER
Al$_{0.515}$Cr$_{0.515}$FeNi,25.0,$^\circ$C,T,796.0,MPa,CAST
HfNbTaTiZr,160.0,$^\circ$C,,,,WROUGHT
HfNbSi$_{0.5}$TiVZr,400.0,$^\circ$C,C,1273.0,MPa,ANNEAL
HfNbTaTiZr,600.0,$^\circ$C,,,,WROUGHT
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,500.0,$^\circ$C,C,1120.0,MPa,CAST
MoNbTaW,800.0,$^\circ$C,,,,POWDER
CrMoNbTiW,25.0,$^\circ$C,C,1630.0,MPa,POWDER
HfMo$_{0.5}$NbTiV$_{0.5}$,23.0,$^\circ$C,C,1260.0,MPa,CAST
Al$_{0.24}$NbTiVZr,1200.0,$^\circ$C,C,24.0,MPa,OTHER
Al$_{0.667}$Co$_{0.833}$Cr$_{0.833}$Fe$_{0.833}$Ni$_{0.833}$Ti,25.0,$^\circ$C,C,1272.0,MPa,CAST
AlCo$_{0.419}$Cr$_{0.465}$Fe$_{0.279}$Ni$_{0.163}$,,,,,,
CrFeNiTi$_{0.3}$,25.0,$^\circ$C,C,2364.63,MPa,CAST
Al$_{0.133}$CoCr$_{0.667}$Fe$_{0.667}$NiTi$_{0.333}$,25.0,$^\circ$C,,,,ANNEAL
Al$_{0.476}$Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Ni,25.0,$^\circ$C,T,1154.0,MPa,WROUGHT
AlCoCrCuFeNi,25.0,$^\circ$C,,,,CAST
CoCrFeMo$_{0.15}$Ni,25.0,$^\circ$C,T,1273.0,MPa,WROUGHT
Al$_{0.3}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni,25.0,$^\circ$C,,,,
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-103.0,$^\circ$C,C,1380.0,MPa,WROUGHT
Co$_{0.714}$Fe$_{0.714}$Mo$_{0.714}$NiV$_{0.714}$,25.0,$^\circ$C,,,,CAST
AlCo$_{0.556}$Cr$_{0.556}$Cu$_{0.556}$Fe$_{0.556}$,25.0,$^\circ$C,,,,
NbTaTiW,200.0,$^\circ$C,C,869.0,MPa,ANNEAL
AlCrNbTiV,25.0,$^\circ$C,C,1550.0,MPa,ANNEAL
HfNbTaTiZr,25.0,$^\circ$C,T,985.0,MPa,WROUGHT
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,600.0,$^\circ$C,T,470.0,MPa,ANNEAL
MoNbTaVW,800.0,$^\circ$C,C,846.0,MPa,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,25.0,$^\circ$C,C,890.0,MPa,WROUGHT
Hf$_{0.5}$Mo$_{0.5}$NbSi$_{0.3}$TiZr,25.0,$^\circ$C,C,1370.0,MPa,CAST
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,,,,,,ANNEAL
HfNbTiZr,25.0,$^\circ$C,C,1000.0,MPa,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-103.0,$^\circ$C,C,1250.0,MPa,WROUGHT
CoCrFeNi,25.0,$^\circ$C,C,,,CAST
HfMo$_{0.5}$NbSi$_{0.3}$TiV$_{0.5}$,1000.0,$^\circ$C,C,398.0,MPa,CAST
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
AlCoCrCuFeNi,25.0,$^\circ$C,T,1040.0,MPa,WROUGHT
AlCrCuFeNi,400.0,$^\circ$C,C,1366.0,MPa,POWDER
CrMoNbTaVW,25.0,$^\circ$C,C,3416.0,MPa,POWDER
HfMoNbTiZr,800.0,$^\circ$C,C,829.0,MPa,CAST
Al$_{0.304}$CoCrFeNi,,,,,,WROUGHT
MoNbTaTiW,600.0,$^\circ$C,C,689.0,MPa,CAST
NbTiZr,1000.0,$^\circ$C,C,141.0,MPa,OTHER
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,690.0,MPa,
Hf$_{0.25}$TiV$_{0.5}$Zr$_{0.5}$,800.0,$^\circ$C,C,85.0,MPa,CAST
Co$_{0.25}$CrNi,25.0,$^\circ$C,T,518.0,MPa,WROUGHT
Co$_{0.318}$Cr$_{0.227}$FeMo$_{0.091}$Ni$_{0.182}$,25.0,$^\circ$C,T,443.0,MPa,WROUGHT
NbTiZr,1000.0,$^\circ$C,C,218.0,MPa,CAST
AlCrFeMoNi,25.0,$^\circ$C,,,,CAST
HfMo$_{0.5}$NbSi$_{0.3}$TiV$_{0.5}$,1000.0,$^\circ$C,C,398.0,MPa,CAST
CrMoTaTi,600.0,$^\circ$C,C,1162.0,MPa,ANNEAL
HfMo$_{0.5}$NbSi$_{0.3}$TiV$_{0.5}$,1200.0,$^\circ$C,C,166.0,MPa,CAST
HfMoNbTaTiZr,25.0,$^\circ$C,C,1512.0,MPa,CAST
CoCrFeMnNiV,25.0,$^\circ$C,C,1700.0,MPa,ANNEAL
AlHfTaTi,,,,,,ANNEAL
AlCrNbTiV,1000.0,$^\circ$C,C,65.0,MPa,ANNEAL
Hf$_{0.25}$Nb$_{0.5}$TiV$_{0.5}$Zr$_{0.5}$,25.0,$^\circ$C,C,980.0,MPa,CAST
HfMoNbTaZr,800.0,$^\circ$C,C,1005.0,MPa,CAST
HfMo$_{0.5}$NbSi$_{0.7}$TiV$_{0.5}$,1200.0,$^\circ$C,C,235.0,MPa,CAST
HfMoNbTiZr,1000.0,$^\circ$C,C,635.0,MPa,CAST
AlCo$_{0.442}$Cr$_{0.442}$Fe$_{0.256}$Ni$_{0.186}$,,,,,,
AlCrCuFeNi$_{0.6}$,25.0,$^\circ$C,,,,ANNEAL
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,600.0,$^\circ$C,C,805.0,MPa,CAST
AlCuNiTi,25.0,$^\circ$C,C,300.0,MPa,CAST
Al$_{0.667}$Nb$_{0.667}$Ti$_{0.667}$V$_{0.667}$Zr,25.0,$^\circ$C,C,1535.0,MPa,ANNEAL
MoNbTaTiW,1000.0,$^\circ$C,C,620.0,MPa,CAST
CoCr$_{0.2}$FeNiSi$_{0.2}$,25.0,$^\circ$C,T,320.0,MPa,WROUGHT
HfNbTiVZr,25.0,$^\circ$C,C,1157.0,MPa,ANNEAL
AlCo$_{0.25}$CrFeNi,25.0,$^\circ$C,C,1363.0,MPa,
Al$_{0.1}$CoCrFeMnNi,25.0,$^\circ$C,,,,CAST
HfNbTaZr,25.0,$^\circ$C,C,2020.0,MPa,ANNEAL
AlCoCrCuNiTiY,25.0,$^\circ$C,C,,,CAST
Al$_{0.25}$NbTaTiZr,25.0,$^\circ$C,C,1745.0,MPa,OTHER
AlCoCrFeMo$_{0.5}$Ni,25.0,$^\circ$C,,,,CAST
NbTaTiW,400.0,$^\circ$C,C,627.0,MPa,ANNEAL
Al$_{0.4}$Hf$_{0.6}$NbTaTiZr,25.0,$^\circ$C,C,1841.0,MPa,OTHER
AlCo$_{0.465}$Cr$_{0.512}$Fe$_{0.186}$Ni$_{0.163}$,,,,,,
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-196.0,$^\circ$C,C,1920.0,MPa,WROUGHT
CoCrFeMn,25.0,$^\circ$C,C,338.0,MPa,
HfNbTaTiZr,25.0,$^\circ$C,T,1114.0,MPa,OTHER
HfMoNbTaTiWZr,25.0,$^\circ$C,C,1637.0,MPa,CAST
Al$_{0.5}$CoCrCuFeNiTi$_{0.2}$,25.0,$^\circ$C,,,,CAST
NbTaTiW,20.0,$^\circ$C,C,1054.0,MPa,ANNEAL
CrNbTiZr,25.0,$^\circ$C,C,1260.0,MPa,OTHER
AlCoCrFeNi,25.0,$^\circ$C,C,1380.0,MPa,CAST
C$_{0.111}$CoCrFeNiW$_{0.111}$,,,,,,POWDER
CoCrFeMnNi,25.0,$^\circ$C,C,230.0,MPa,ANNEAL
CoFeNiSi$_{0.25}$,25.0,$^\circ$C,C,196.0,MPa,CAST
HfNbTaTi,,,,,,ANNEAL
C$_{0.02}$CoCrFeMnNi,25.0,$^\circ$C,T,446.0,MPa,WROUGHT
CrNb$_{0.333}$Ti$_{0.333}$Zr$_{0.333}$,23.0,$^\circ$C,C,1576.0,MPa,OTHER
CoCr$_{0.588}$Fe$_{0.176}$Mo$_{0.176}$Ni,25.0,$^\circ$C,T,309.0,MPa,WROUGHT
Al$_{0.3}$CoCrFeNi,,,,,,CAST
NbTaTiV,25.0,$^\circ$C,C,1108.0,MPa,POWDER
CoCrFeMnNiV$_{0.75}$,25.0,$^\circ$C,C,740.0,MPa,ANNEAL
AlCrMoTi,600.0,$^\circ$C,C,1020.0,MPa,ANNEAL
HfNbSi$_{0.5}$TiVZr,800.0,$^\circ$C,C,371.0,MPa,CAST
Al$_{0.947}$Co$_{0.158}$MoNi$_{0.289}$W$_{0.237}$,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,,,,,,OTHER
Al$_{0.5}$CoCrFeMnNiTa$_{0.4}$,,,,,,
Al$_{0.111}$CuMnNi,25.0,$^\circ$C,C,515.0,MPa,CAST
MoNbTaTiVW,1000.0,$^\circ$C,C,753.0,MPa,CAST
Al$_{0.55}$CoCrFeMnNiTa$_{0.6}$,,,,,,
AlCu$_{0.077}$Mg$_{0.077}$Mn$_{0.077}$Si$_{0.231}$Zn$_{0.077}$,25.0,$^\circ$C,C,622.0,MPa,CAST
HfMo$_{0.5}$NbTaTiZr,25.0,$^\circ$C,C,1317.0,MPa,CAST
AlHfNbTi,,,,,,CAST
AlCoFeNi,25.0,$^\circ$C,C,964.0,MPa,CAST
AlCo$_{0.255}$Cr$_{0.255}$Cu$_{0.106}$Fe$_{0.277}$Ni$_{0.234}$,,,,,,
AlCrMoNbTi,1000.0,$^\circ$C,C,550.0,MPa,ANNEAL
CrTaVW,25.0,$^\circ$C,C,2327.0,MPa,POWDER
CoCr$_{0.429}$Fe$_{0.571}$Mo$_{0.286}$Ni$_{0.571}$,25.0,$^\circ$C,T,1028.0,MPa,WROUGHT
HfMoNbTiZr,23.0,$^\circ$C,C,1575.0,MPa,CAST
Al$_{0.853}$Co$_{0.647}$CrFe$_{0.147}$Ni$_{0.294}$,,,,,,
CoCrFeNi,25.0,$^\circ$C,T,631.0,MPa,WROUGHT
AlCo$_{0.667}$Cr$_{0.667}$Fe$_{0.667}$Ni$_{0.667}$,25.0,$^\circ$C,,,,ANNEAL
Co$_{0.556}$Fe$_{0.556}$Mo$_{0.556}$NiV$_{0.556}$,25.0,$^\circ$C,,,,CAST
Al$_{0.5}$CoCrCuFeNi,25.0,$^\circ$C,C,388.0,MPa,CAST
Al$_{0.5}$CoCrCuFeNi,25.0,$^\circ$C,,,,CAST
CoCrFeMo$_{0.15}$Ni,25.0,$^\circ$C,T,1136.0,MPa,WROUGHT
AlMo$_{0.5}$NbTa$_{0.5}$TiZr$_{0.5}$,25.0,$^\circ$C,C,,,OTHER
Al$_{0.5}$B$_{0.6}$CoCrCuFeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.451}$Co$_{0.451}$Cr$_{0.451}$Fe$_{0.451}$Ni,-70.0,$^\circ$C,T,570.0,MPa,
CoCrFeMnNi,25.0,$^\circ$C,C,1100.0,MPa,POWDER
Al$_{0.333}$Cr$_{0.667}$FeMn$_{0.667}$Ni$_{0.333}$,25.0,$^\circ$C,,,,CAST
AlCo$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,25.0,$^\circ$C,C,1620.0,MPa,CAST
Al$_{0.476}$Co$_{0.476}$Cr$_{0.476}$Fe$_{0.476}$Ni,25.0,$^\circ$C,T,1263.0,MPa,WROUGHT
HfNbTaTiZr,380.0,$^\circ$C,,,,WROUGHT
Al$_{0.3}$CoCrFeMnNi,,,,,,POWDER
AlMoNbTi,23.0,$^\circ$C,C,1100.0,MPa,ANNEAL
CoFeMo$_{0.6}$NiV,25.0,$^\circ$C,,,,CAST
CoCrFeNi,25.0,$^\circ$C,T,448.0,MPa,WROUGHT
MoNbTaTi,,,,,,ANNEAL
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,600.0,$^\circ$C,T,594.0,MPa,ANNEAL
HfMo$_{0.5}$NbSi$_{0.5}$TiV$_{0.5}$,23.0,$^\circ$C,C,1787.0,MPa,CAST
AlMoNbTi,,,,,,CAST
Co$_{0.986}$Cr$_{0.952}$Fe$_{0.933}$Mn$_{0.914}$Ni,25.0,$^\circ$C,T,270.0,MPa,WROUGHT
Al$_{0.5}$CoCrCu$_{0.5}$FeNiTi$_{0.5}$,25.0,$^\circ$C,C,1580.0,MPa,CAST
HfNbTaTiZr,820.0,$^\circ$C,,,,WROUGHT
C$_{0.053}$CoCrFeMnNi,1000.0,$^\circ$C,C,,,ANNEAL
Hf$_{0.26}$NbTaTi$_{0.578}$Zr$_{0.416}$,25.0,$^\circ$C,C,845.0,MPa,CAST
CoCrMoNbTi,25.0,$^\circ$C,C,,,CAST
Al$_{0.5}$HfNbTaTiZr,25.0,$^\circ$C,C,1302.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,1155.0,MPa,CAST
FeMnNi,25.0,$^\circ$C,T,322.0,MPa,WROUGHT
HfNbTaTiZr,840.0,$^\circ$C,,,,WROUGHT
AlCoCrCuFeNi,700.0,$^\circ$C,C,307.0,MPa,CAST
AlCoCrFeNi,25.0,$^\circ$C,C,1430.0,MPa,ANNEAL
Al$_{0.7}$Co$_{0.3}$CrFeNi,25.0,$^\circ$C,C,2033.0,MPa,POWDER
Al$_{0.75}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
CrMoTaTi,,,,,,ANNEAL
HfNbTaTiZr,25.0,$^\circ$C,T,795.0,MPa,OTHER
CoCrFeMnNi,,,,,,ANNEAL
CrMoNbTi,800.0,$^\circ$C,C,1058.0,MPa,ANNEAL
Al$_{0.5}$CoCrCuFeNi,700.0,$^\circ$C,T,160.0,MPa,WROUGHT
CoCrFeMnNi,25.0,$^\circ$C,C,1300.0,MPa,WROUGHT
HfMoTaTiZr,1200.0,$^\circ$C,C,404.0,MPa,CAST
Al$_{0.569}$Ca$_{0.143}$Li$_{0.857}$MgSi$_{0.286}$Y$_{0.003}$,25.0,$^\circ$C,C,556.0,MPa,CAST
HfMo$_{0.5}$NbSi$_{0.5}$TiV$_{0.5}$,1000.0,$^\circ$C,C,614.0,MPa,CAST
HfNbTaTiZr,40.0,$^\circ$C,,,,WROUGHT
CoCrCuFeNiTiVZr,25.0,$^\circ$C,,,,CAST
Al$_{0.5}$Co$_{0.5}$Cr$_{0.5}$FeMo$_{0.25}$Ni$_{0.5}$,25.0,$^\circ$C,,,,CAST
AlCrMoNbTi,1000.0,$^\circ$C,C,594.0,MPa,CAST
MoNbSi$_{0.75}$TaW,1200.0,$^\circ$C,C,960.0,MPa,POWDER
CoNiV,25.0,$^\circ$C,T,602.0,MPa,WROUGHT
AlMo$_{0.5}$NbTa$_{0.5}$TiZr,1200.0,$^\circ$C,C,250.0,MPa,OTHER
Al$_{0.75}$CoCrFeMnNi,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,1900.0,MPa,OTHER
HfMoNbTaTi,25.0,$^\circ$C,C,1369.0,MPa,CAST
Al$_{0.885}$CrFeNi,25.0,$^\circ$C,C,770.0,MPa,CAST
AlCo$_{0.5}$Cr$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,25.0,$^\circ$C,,,,ANNEAL
Al$_{0.511}$Co$_{0.511}$Cr$_{0.511}$Fe$_{0.511}$Ni,-192.0,$^\circ$C,T,700.0,MPa,
CoCrFeMnNi,25.0,$^\circ$C,T,370.0,MPa,WROUGHT
AlCrMoNbTi,600.0,$^\circ$C,C,930.0,MPa,ANNEAL
AlCo$_{0.149}$Cr$_{0.34}$Cu$_{0.191}$Fe$_{0.34}$Ni$_{0.106}$,,,,,,
Co$_{0.2}$Cr$_{0.2}$FeMn$_{0.6}$,25.0,$^\circ$C,T,250.0,MPa,ANNEAL
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,285.0,MPa,WROUGHT
AlCo$_{0.333}$Cr$_{0.333}$Fe$_{0.333}$Ni$_{0.333}$,25.0,$^\circ$C,,,,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,25.0,$^\circ$C,C,1100.0,MPa,WROUGHT
Co$_{0.327}$Cr$_{0.227}$FeMo$_{0.136}$Ni$_{0.127}$,25.0,$^\circ$C,T,684.0,MPa,WROUGHT
CoCrFeMnNi,25.0,$^\circ$C,T,258.76,MPa,WROUGHT
CrFeNiTi$_{0.5}$,25.0,$^\circ$C,C,2380.79,MPa,CAST
Al$_{0.053}$CuMnNi,25.0,$^\circ$C,C,330.0,MPa,CAST
Al$_{0.15}$Cr$_{0.5}$Cu$_{0.25}$Fe$_{0.5}$Ni,25.0,$^\circ$C,T,350.0,MPa,WROUGHT
NbTiVZr,25.0,$^\circ$C,C,1104.0,MPa,ANNEAL
HfNbTiZr,,,,,,WROUGHT
MoNbTiVZr,1200.0,$^\circ$C,C,116.0,MPa,OTHER
Al$_{0.25}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
AlCoCrFeNi,25.0,$^\circ$C,,,,CAST
Al$_{0.75}$HfNbTaTiZr,25.0,$^\circ$C,C,1415.0,MPa,CAST
AlCoCrFeNiSi$_{0.6}$,25.0,$^\circ$C,C,1834.0,MPa,CAST
HfMoNbTiZr,1000.0,$^\circ$C,C,635.0,MPa,ANNEAL
AlHfNbTaTiZr,25.0,$^\circ$C,C,1489.0,MPa,CAST
Al$_{0.5}$CoCrCuFeNi,,,,,,CAST
CoFeNi,,,,,,
HfMoNbTaZr,1000.0,$^\circ$C,C,927.0,MPa,CAST
AlCr$_{0.889}$Fe$_{0.889}$Ni$_{0.889}$,25.0,$^\circ$C,C,1044.0,MPa,CAST
MoNbTaW,1200.0,$^\circ$C,C,506.0,MPa,CAST
AlCoCrFeNi,25.0,$^\circ$C,C,1373.0,MPa,CAST
NbTaTiVZr,1000.0,$^\circ$C,C,190.0,MPa,OTHER
CoCuFeMnNiSn$_{0.03}$,25.0,$^\circ$C,T,,,CAST
HfNbTaTi,,,,,,CAST
AlCoCrFeNi,25.0,$^\circ$C,C,1251.0,MPa,CAST
AlCoCuFeNi$_{0.8}$,25.0,$^\circ$C,C,1021.0,MPa,CAST
CoCrFeMn$_{0.4}$NiPd,25.0,$^\circ$C,C,650.0,MPa,CAST
Al$_{0.333}$Ca$_{0.011}$Li$_{0.867}$MgSi$_{0.011}$,25.0,$^\circ$C,C,300.0,MPa,CAST
Al$_{0.5}$CoCrFeMnNi,,,,,,
C$_{0.1}$CoCrFeMnNiTi$_{0.1}$,25.0,$^\circ$C,C,1616.0,MPa,POWDER
HfNbTaTiZr,400.0,$^\circ$C,C,790.0,MPa,OTHER
Al$_{0.5}$CoCrCuFeNi,25.0,$^\circ$C,,,,CAST
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-153.0,$^\circ$C,C,1370.0,MPa,WROUGHT
AlCoFeNiTiVZr,25.0,$^\circ$C,,,,CAST
HfMoNbTaTiZr,1200.0,$^\circ$C,C,556.0,MPa,CAST
AlCoCrFeNiTi,25.0,$^\circ$C,C,1860.0,MPa,CAST
Mo$_{0.5}$NbTiVZr,25.0,$^\circ$C,C,1473.0,MPa,ANNEAL
AlCrMoNbTi,1000.0,$^\circ$C,C,550.0,MPa,ANNEAL
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-153.0,$^\circ$C,C,1640.0,MPa,WROUGHT
Hf$_{0.25}$TiV$_{0.5}$Zr$_{0.5}$,25.0,$^\circ$C,C,1160.0,MPa,CAST
CoCrFeMoNiTiVZr,25.0,$^\circ$C,,,,CAST
Hf$_{0.26}$NbTaTi$_{0.578}$Zr$_{0.416}$,60.0,$^\circ$C,C,795.0,MPa,CAST
AlCo$_{0.304}$Cr$_{0.5}$Cu$_{0.109}$Fe$_{0.152}$Ni$_{0.109}$,,,,,,
AlCrCuFeNi,,,,,,POWDER
NbTaTi,800.0,$^\circ$C,C,210.0,MPa,WROUGHT
CoCrFeMnNi,25.0,$^\circ$C,T,208.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,C,929.0,MPa,OTHER
Al$_{0.68}$CoCrFeMnNi,25.0,$^\circ$C,,,,CAST
CoFeMo$_{0.2}$NiV,25.0,$^\circ$C,,,,CAST
FeMoNiTiVZr,25.0,$^\circ$C,,,,CAST
HfNbTaTiZr,100.0,$^\circ$C,,,,WROUGHT
Hf$_{0.5}$Nb$_{0.667}$Ta$_{0.333}$TiZr$_{0.833}$,-103.0,$^\circ$C,C,1370.0,MPa,WROUGHT
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,800.0,$^\circ$C,T,445.0,MPa,ANNEAL
AlLi$_{0.062}$Mg$_{0.062}$Sn$_{0.062}$Zn$_{0.062}$,25.0,$^\circ$C,C,415.0,MPa,CAST
CoCrFeMo$_{0.2}$Ni,25.0,$^\circ$C,T,,,ANNEAL
AlCrMoNbTi,600.0,$^\circ$C,C,1060.0,MPa,CAST
CoCrFeMnMo$_{0.19}$Ni,25.0,$^\circ$C,C,765.0,MPa,CAST
AlCo$_{0.5}$Cr$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$,25.0,$^\circ$C,,,,ANNEAL
CoCrFeMnNi,25.0,$^\circ$C,T,1241.81,MPa,WROUGHT
CrFeMoNbTi,25.0,$^\circ$C,C,1647.0,MPa,CAST
AlNbTiVZr$_{0.25}$,25.0,$^\circ$C,C,1360.0,MPa,ANNEAL
CoCrFeMnNiV$_{0.765}$,25.0,$^\circ$C,C,780.0,MPa,ANNEAL
AlNbTiVZr$_{0.5}$,600.0,$^\circ$C,C,1135.0,MPa,ANNEAL
MoNbSi$_{0.5}$TaW,600.0,$^\circ$C,,,,POWDER
MoNbTaW,600.0,$^\circ$C,,,,POWDER
AlCoCrFeNi,25.0,$^\circ$C,C,1626.0,MPa,POWDER
CoCrFeMnNi,25.0,$^\circ$C,C,210.0,MPa,CAST
MoNbTaTiZr,25.0,$^\circ$C,C,1375.0,MPa,CAST
Al$_{0.5}$CoCrCuFeNi,25.0,$^\circ$C,T,1290.0,MPa,WROUGHT
CuMnNiSn$_{0.111}$,25.0,$^\circ$C,C,630.0,MPa,CAST
AlCrMoTi,1200.0,$^\circ$C,C,100.0,MPa,ANNEAL
AlCo$_{0.298}$Cr$_{0.319}$Cu$_{0.106}$Fe$_{0.277}$Ni$_{0.128}$,,,,,,
Al$_{0.417}$Co$_{0.833}$Cr$_{0.833}$Cu$_{0.833}$Fe$_{0.833}$Ni$_{0.833}$V,25.0,$^\circ$C,,,,CAST
AlNbTiZr,25.0,$^\circ$C,C,1509.0,MPa,CAST
Al$_{0.667}$NbTa$_{0.333}$TiZr$_{0.333}$,1000.0,$^\circ$C,C,403.0,MPa,OTHER
AlMo$_{0.5}$NbTa$_{0.5}$TiZr,800.0,$^\circ$C,C,1597.0,MPa,OTHER
Al$_{0.3}$CoCrFeNi,340.0,$^\circ$C,C,,,CAST
AlCrFeMo$_{0.5}$Ni,25.0,$^\circ$C,C,1749.0,MPa,CAST
HfNbTaTiZr,200.0,$^\circ$C,,,,WROUGHT
Al$_{0.5}$CrCuFeNi,,,,,,CAST
CoCr$_{0.588}$Fe$_{0.176}$Mo$_{0.176}$Ni,25.0,$^\circ$C,T,,,WROUGHT
MoNbTaTiVW,1200.0,$^\circ$C,C,659.0,MPa,CAST
Al$_{0.875}$CoCrFeNi,25.0,$^\circ$C,,,,ANNEAL
Al$_{0.343}$Co$_{0.514}$Cr$_{0.514}$FeNi$_{0.514}$,700.0,$^\circ$C,T,220.0,MPa,CAST
Al$_{0.5}$NbTa$_{0.5}$TiZr,,,,,,POWDER
Co$_{0.086}$Cu$_{0.086}$Fe$_{0.086}$NbNi$_{0.086}$,25.0,$^\circ$C,C,1703.0,MPa,WROUGHT
AlCo$_{0.277}$Cr$_{0.426}$Cu$_{0.106}$Fe$_{0.213}$Ni$_{0.106}$,,,,,,
AlCrCuFeNi,,,,,,POWDER
MoNbTaVW,25.0,$^\circ$C,C,2612.0,MPa,POWDER
Co$_{0.2}$Cr$_{0.2}$FeMn$_{0.6}$,25.0,$^\circ$C,T,400.0,MPa,WROUGHT
Co$_{0.327}$Cr$_{0.227}$FeMo$_{0.136}$Ni$_{0.127}$,25.0,$^\circ$C,T,296.0,MPa,WROUGHT
CoCrFeMnNi,25.0,$^\circ$C,T,1150.0,MPa,WROUGHT
AlNbTiVZr$_{0.1}$,600.0,$^\circ$C,C,975.0,MPa,ANNEAL
CoCrFeMnNi,25.0,$^\circ$C,T,378.7,MPa,WROUGHT
MoNbTaTiW,25.0,$^\circ$C,C,1455.0,MPa,CAST
AlNbTiV,600.0,$^\circ$C,C,810.0,MPa,ANNEAL
Co$_{0.5}$Fe$_{0.5}$Mo$_{0.5}$NiV$_{0.5}$,25.0,$^\circ$C,,,,CAST
HfMo$_{0.5}$NbSi$_{0.7}$TiV$_{0.5}$,1200.0,$^\circ$C,C,235.0,MPa,CAST
Al$_{0.49}$CoCrFeMnNi,25.0,$^\circ$C,T,331.0,MPa,CAST
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,25.0,$^\circ$C,T,568.0,MPa,ANNEAL
Al$_{0.3}$CoCrFeMo$_{0.1}$Ni,,,,,,
Al$_{0.25}$Co$_{0.5}$Cr$_{0.5}$Cu$_{0.5}$Fe$_{0.5}$Ni$_{0.5}$V,25.0,$^\circ$C,,,,CAST
CoFeNi,25.0,$^\circ$C,C,204.0,MPa,CAST
Co$_{0.286}$Cr$_{0.429}$FeMn$_{0.143}$Ni$_{0.714}$V$_{0.286}$,25.0,$^\circ$C,T,401.0,MPa,WROUGHT
AlCoCrFeNi,25.0,$^\circ$C,C,1631.0,MPa,CAST
Al$_{0.6}$CoCr$_{0.333}$Fe$_{0.333}$Mo$_{0.067}$Ni,25.0,$^\circ$C,C,1250.8,MPa,CAST
HfMoTaTiZr,25.0,$^\circ$C,C,1600.0,MPa,CAST
CoCrCuNiZn,25.0,$^\circ$C,C,,,POWDER
Al$_{0.25}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,600.0,$^\circ$C,C,359.0,MPa,CAST
