formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
Al$_{0.304}$Cr$_{0.435}$Fe$_{0.435}$Ni,25.0,$^\circ$C,T,461.0,MPa,CAST
HfNbTiZr,800.0,$^\circ$C,C,303.0,MPa,CAST
CoCuFeNiSn$_{0.5}$,25.0,$^\circ$C,,,,CAST
CoCrFeMnNi,25.0,$^\circ$C,T,1199.26,MPa,WROUGHT
Co$_{0.133}$Cu$_{0.133}$Fe$_{0.133}$NbNi$_{0.133}$,25.0,$^\circ$C,C,1635.0,MPa,WROUGHT
Hf$_{0.25}$Nb$_{0.125}$TiV$_{0.5}$Zr$_{0.5}$,25.0,$^\circ$C,C,1115.0,MPa,CAST
Al$_{0.667}$Li$_{0.667}$Mg$_{0.333}$Sc$_{0.667}$Ti,25.0,$^\circ$C,,,,
CoCrFeMnNi,25.0,$^\circ$C,T,293.1,MPa,WROUGHT
CoCuFeMnNiSn$_{0.1}$,25.0,$^\circ$C,T,,,CAST
NbTaTiW,600.0,$^\circ$C,C,596.0,MPa,ANNEAL
CoCuFeMnNi,800.0,$^\circ$C,,,,CAST
NbTaTiV,25.0,$^\circ$C,C,965.0,MPa,CAST
Al$_{0.278}$Co$_{0.694}$Cr$_{0.222}$Fe$_{0.417}$NiTi$_{0.167}$,23.0,$^\circ$C,T,627.0,MPa,ANNEAL
HfMo$_{0.5}$NbTiV$_{0.5}$,1000.0,$^\circ$C,C,368.0,MPa,CAST
Al$_{0.5}$CoCrCuFeNi,25.0,$^\circ$C,T,1284.0,MPa,WROUGHT
Al$_{0.304}$CoCrFeNi,,,,,,ANNEAL
AlMo$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,2197.0,MPa,OTHER
CrTaTi$_{0.17}$VW,1200.0,$^\circ$C,C,750.0,MPa,POWDER
CoCrFeNi,-73.0,$^\circ$C,T,488.0,MPa,WROUGHT
CoCrFeNi,25.0,$^\circ$C,T,273.0,MPa,WROUGHT
MoNbTaTi$_{0.75}$W,25.0,$^\circ$C,C,1304.0,MPa,CAST
AlCoCuFeNi,25.0,$^\circ$C,C,1060.0,MPa,
